ShortName,ISIN,Preis,CouponRate,Emittent,ValorSymbol,ValorNumber,Yield,DurationToWorst,SubscriptionPaymentDueDate,Restlaufzeit,Fälligkeit,Emissionsvolumen,ProductLineDesc,Währung,ClosingPerformance,ClosingDelta,BidVolume,BidPrice,Preis (Brief),Volumen (Brief),MidSpread,PreviousClosingPrice,LatestTradeDate,LatestTradeTime,OpeningPrice,DailyHighPrice,DailyLowPrice,OnMarketVolume,OffBookVolume,TotalTurnover,TotalTurnoverCHF,Land,Industrie,SecTypeDesc,BondListedFlag,BondDutyToReportFlag,SpecialFlagDesc,Schuldner,Mdy,Unnamed: 2,Rating_x,ESG,RTG_SP,INV,BB_COMPOSITE,Blend,Rating_y,ESG_MSCI,Rating,Domicil,LastCoupon,AccruedInterest,Dirty Price
0 BKUBSG 20-60,CH0511762046,100.0,,UBS Group AG,USF144,51176204,,,20200131,,31.01.2060,280.0,Bonds - Non CHF,USD,0.0,0.0,0,,,0.0,,100.0,,,,,,0,0,0.0,0.0,Listed Foreign Currency Bond USD,Banks,Bond,1,1,,UBS Group AG,A3,,A-,Ja,,,,,,,A-,Foreign,2023-01-31,0.0,100.0
0 BKW 22-24,CH1160680141,97.26,,BKW AG,BKW22,116068014,2.281,1.328,20220218,1.38,18.10.2024,200.0,Bonds - CHF Domestic,CHF,0.0,0.0,10000,97.05,97.28,100.0,0.2367,97.26,20230619.0,,,,,0,0,0.0,0.0,Switzerland,Utilities,Bond,1,1,,BKW AG,,,A,Nein,,,,,,,A,Domestic,2022-10-18,0.0,97.26
0 BNG 25        /ER,XS0085517661,74.23,,BNG Bank N.V.,ZAR046,866359,,,19980331,,31.12.2025,3000.0,Bonds - Non CHF,ZAR,0.0,0.0,0,,,0.0,,74.23,,,,,,0,0,0.0,0.0,Eurobond ZAR,Banks,Bond,0,0,,,,,,,,,,,AAA,,AAA,Foreign,2022-12-31,0.0,74.23
0 CAFP 24 /EB,FR0013326204,97.05,,Carrefour SA,US1924,41075230,,,20180327,,27.03.2024,500.0,Bonds - Non CHF,USD,0.0,0.0,0,,,0.0,,97.05,20181128.0,,,,,0,0,0.0,0.0,Eurobond USD,Misc. services,Bond,0,0,,,,,,,,,,,,,,Foreign,2023-03-27,0.0,97.05
0 CDM 20-26,CH0506071346,94.4,,C.Dep.Consignations,CDM20,50607134,2.055,2.989,20201216,3.04,16.06.2026,100.0,Bonds - CHF Foreign,CHF,0.0,0.0,200000,94.15,94.35,200.0,0.2122,94.4,20230426.0,,,,,0,0,0.0,0.0,France,Banks,Bond,1,1,,,,,,,,,,,AA,,AA,Foreign,2023-06-16,0.0,94.4
0 CDM 21-28,CH0591979643,91.05,,C.Dep.Consignations,CDM21,59197964,2.01,5.017,20210126,5.07,26.06.2028,100.0,Bonds - CHF Foreign,CHF,0.0,0.0,400000,90.55,91,200.0,0.4957,91.05,20230613.0,,,,,0,0,0.0,0.0,France,Banks,Bond,1,1,,,,,,,,,,,AA,,AA,Foreign,2022-06-26,0.0,91.05
0 CEMBRA CV 19-26,CH0486598227,92.1,,Cembra Money Bank,CMB19,48659822,,,20190709,,09.07.2026,250.0,Bonds - CHF Domestic,CHF,0.0,0.0,600000,91.75,92.55,600.0,0.8681,92.1,20230526.0,,,,,0,0,0.0,0.0,Switzerland,Banks,Convertible bond,1,1,,Cembra Money Bank,,,A-,Nein,,,,,,,A-,Domestic,2022-07-09,0.0,92.1
0 CSCHLTD 19-29,CH0483181001,86.25,,Credit Suisse (Switzerland),CRS19,48318100,2.456,6.072,20190716,6.12,16.07.2029,250.0,Bonds - CHF Domestic,CHF,0.0,0.0,50000,85.75,88.25,100.0,2.8736,86.25,20230619.0,,,,,0,0,0.0,0.0,Switzerland,Banks,Bond,1,1,,Credit Suisse (Switzerland),Baa1,,BBB,Ja,,,,,,,BBB,Domestic,2022-07-16,0.0,86.25
0 CSCHLTD 20-24,CH0550413352,96.76,,Credit Suisse (Switzerland),CRS202,55041335,2.382,1.492,20200617,1.54,17.12.2024,200.0,Bonds - CHF Domestic,CHF,0.0,0.0,65000,96.55,96.79,290.0,0.2483,96.76,20230417.0,,,,,0,0,0.0,0.0,Switzerland,Banks,Bond,1,1,,Credit Suisse (Switzerland),Baa1,,BBB,Ja,,,,,,,BBB,Domestic,2022-12-17,0.0,96.76
0 CSCHLTD 20-25,CH0520663581,95.5,,Credit Suisse (Switzerland),CRS20,52066358,2.408,2.111,20200131,2.16,31.07.2025,350.0,Bonds - CHF Domestic,CHF,0.0,0.0,100000,95.1,95.5,45.0,0.4197,95.5,20230609.0,,,,,0,0,0.0,0.0,Switzerland,Banks,Bond,1,1,,Credit Suisse (Switzerland),Baa1,,BBB,Ja,,,,,,,BBB,Domestic,2022-07-31,0.0,95.5
0 CSCHLTD 20-30,CH0520663599,85.65,,Credit Suisse (Switzerland),CRS201,52066359,2.463,7.361,20200131,7.41,31.10.2030,310.0,Bonds - CHF Domestic,CHF,0.0,0.0,50000,83.75,85.75,100.0,2.3599,85.65,20230609.0,,,,,0,0,0.0,0.0,Switzerland,Banks,Bond,1,1,,Credit Suisse (Switzerland),Baa1,,BBB,Ja,,,,,,,BBB,Domestic,2022-10-31,0.0,85.65
0 CSCHLTD 21-27,CH0591979650,92.55,,Credit Suisse (Switzerland),CRS21,59197965,2.388,3.603,20210127,3.66,27.01.2027,100.0,Bonds - CHF Domestic,CHF,0.0,0.0,100000,91.85,92.7,50.0,0.9212,92.55,20230530.0,,,,,0,0,0.0,0.0,Switzerland,Banks,Bond,1,1,,Credit Suisse (Switzerland),Baa1,,BBB,Ja,,,,,,,BBB,Domestic,2023-01-27,0.0,92.55
0 CSCHLTD 21-33,CH0591979668,80.15,,Credit Suisse (Switzerland),CRS211,59197966,2.676,9.603,20210127,9.66,27.01.2033,150.0,Bonds - CHF Domestic,CHF,0.0,0.0,50000,77.75,80.55,50.0,3.5376,80.15,20230426.0,,,,,0,0,0.0,0.0,Switzerland,Banks,Bond,1,1,,Credit Suisse (Switzerland),Baa1,,BBB,Ja,,,,,,,BBB,Domestic,2023-01-27,0.0,80.15
0 CSCHLTD 22-27,CH1230759545,100.0,,Credit Suisse (Switzerland),CRS23,123075954,,,20221222,,27.01.2027,2750.0,Bonds - CHF Domestic,CHF,0.0,0.0,0,,,0.0,,100.0,,,,,,0,0,0.0,0.0,Switzerland,Banks,Bond,1,1,,Credit Suisse (Switzerland),Baa1,,BBB,Ja,,,,,,,BBB,Domestic,2023-01-27,0.0,100.0
0 CSCHLTD 23-25,CH1239495018,100.0,,Credit Suisse (Switzerland),CRS231,123949501,,,20230111,,31.07.2025,2200.0,Bonds - CHF Domestic,CHF,0.0,0.0,0,,,0.0,,100.0,,,,,,0,0,0.0,0.0,Switzerland,Banks,Bond,1,1,,Credit Suisse (Switzerland),Baa1,,BBB,Ja,,,,,,,BBB,Domestic,2022-07-31,0.0,100.0
0 CSCHLTD 23-26,CH1239495026,100.0,,Credit Suisse (Switzerland),CRS232,123949502,,,20230111,,29.06.2026,2800.0,Bonds - CHF Domestic,CHF,0.0,0.0,0,,,0.0,,100.0,,,,,,0,0,0.0,0.0,Switzerland,Banks,Bond,1,1,,Credit Suisse (Switzerland),Baa1,,BBB,Ja,,,,,,,BBB,Domestic,2022-06-29,0.0,100.0
0 CSCHLTD 23-28,CH1239495034,100.0,,Credit Suisse (Switzerland),CRS233,123949503,,,20230111,,16.06.2028,1500.0,Bonds - CHF Domestic,CHF,0.0,0.0,0,,,0.0,,100.0,,,,,,0,0,0.0,0.0,Switzerland,Banks,Bond,1,1,,Credit Suisse (Switzerland),Baa1,,BBB,Ja,,,,,,,BBB,Domestic,2023-06-16,0.0,100.0
0 DB 27         /ER,XS0076085603,64.5,,Deutsche Bank,ZAR028,630699,,,19970527,,27.05.2027,4000.0,Bonds - Non CHF,ZAR,0.0,0.0,0,,,0.0,,64.5,20200525.0,,,,,0,0,0.0,0.0,Eurobond ZAR,Banks,Bond,0,0,,,,,,,,,,,BBB,,BBB,Foreign,2023-05-27,0.0,64.5
0 DEPFA 25      /PF,DE000A0B1K04,46.8,,Deutsche Pfandbriefbank AG,EU408,2049913,,,20050204,,04.02.2025,25.0,Bonds - Non CHF,EUR,0.0,0.0,0,,,0.0,,46.8,,,,,,0,0,0.0,0.0,Eurobond EUR,Banks,Bond,0,0,,,,,,,,,,,BBB+,,BBB+,Foreign,2023-02-04,0.0,46.8
0 DEVSA 27      /ER,XS0078962809,41.83,,Development Bank of S. Africa,ZAR007,685858,,,19970811,,31.12.2027,7500.0,Bonds - Non CHF,ZAR,0.0,0.0,0,,,0.0,,41.83,20170607.0,,,,,0,0,0.0,0.0,Eurobond ZAR,Banks,Bond,0,0,,,,,,,,,,,,,,Foreign,2022-12-31,0.0,41.83
0 EBRD 27       /ER,XS0080713497,52.64,,Europ. Bk f. Rec. a. Develop.,ZAR078,718241,,,19971022,,30.12.2027,3000.0,Bonds - Non CHF,ZAR,0.0,0.0,0,,,0.0,,52.64,20140731.0,,,,,0,0,0.0,0.0,Eurobond ZAR,Supranational Organisations,Bond,0,0,,,,,,,,,,,,,,Foreign,2022-12-30,0.0,52.64
0 EBRD 27      /ER,XS0076593267,65.22,,Europ. Bk f. Rec. a. Develop.,ZAR081,644252,,,19970617,,17.06.2027,10000.0,Bonds - Non CHF,ZAR,0.0,0.0,0,,,0.0,,65.22,20170629.0,,,,,0,0,0.0,0.0,Eurobond ZAR,Supranational Organisations,Bond,0,0,,,,,,,,,,,,,,Foreign,2023-06-17,0.0,65.22
0 EBRD 27     /ER,XS0074789503,66.74,,Europ. Bk f. Rec. a. Develop.,ZAR082,608584,,,19970407,,07.04.2027,7500.0,Bonds - Non CHF,ZAR,0.0,0.0,0,,,0.0,,66.74,20171110.0,,,,,0,0,0.0,0.0,Eurobond ZAR,Supranational Organisations,Bond,0,0,,,,,,,,,,,,,,Foreign,2023-04-07,0.0,66.74
0 EBRD 28       /ER,XS0082826255,61.0,,Europ. Bk f. Rec. a. Develop.,ZAR079,797537,,,19980105,,29.12.2028,2000.0,Bonds - Non CHF,ZAR,0.0,0.0,0,,,0.0,,61.0,20200505.0,,,,,0,0,0.0,0.0,Eurobond ZAR,Supranational Organisations,Bond,0,0,,,,,,,,,,,,,,Foreign,2022-12-29,0.0,61.0
0 EBRD G 29   /ER,XS0084291201,54.1,,Europ. Bk f. Rec. a. Develop.,ZAR080,848058,,,19980302,,31.12.2029,4500.0,Bonds - Non CHF,ZAR,0.0,0.0,0,,,0.0,,54.1,20220512.0,,,,,0,0,0.0,0.0,Eurobond ZAR,Supranational Organisations,Bond,0,0,,,,,,,,,,,,,,Foreign,2022-12-31,0.0,54.1
0 EIB 23 /EE,XS1489409679,101.87,,EIB,EU3222,33902333,,,20160914,,16.10.2023,4000.0,Bonds - Non CHF,EUR,0.0,0.0,0,,,0.0,,101.87,,,,,,0,0,0.0,0.0,Eurobond EUR,Supranational Organisations,Bond,0,0,,,,,,,,,,,AAA,,AAA,Foreign,2022-10-16,0.0,101.87
0 EIB 26        /EB,XS0070553820,88.95,,EIB,USD793,539488,,,19961106,,06.11.2026,1300.0,Bonds - Non CHF,USD,0.0,0.0,0,,,0.0,,88.95,20230426.0,,,,,0,0,0.0,0.0,Eurobond USD,Supranational Organisations,Bond,0,0,,,,,,,,,,,AAA,,AAA,Foreign,2022-11-06,0.0,88.95
0 EIB G 26  /EE,DE0001345908,100.3,,EIB,EU742,532046,,,19961105,,05.11.2026,766.9,Bonds - Non CHF,EUR,0.0,0.0,0,,,0.0,,100.3,20190701.0,,,,,0,0,0.0,0.0,Eurobond EUR,Supranational Organisations,Bond,0,0,,,,,,,,,,,AAA,,AAA,Foreign,2022-11-05,0.0,100.3
0 EIDG 16-29,CH0224397346,94.08,,Schweiz. Eidgenossenschaft,E161,22439734,1.061,6.006,20160622,6.06,22.06.2029,4887.8,Bonds - CHF Domestic,CHF,0.0,0.0,100000,93.94,94.21,100.0,0.287,94.08,20230619.0,,,,,0,0,0.0,0.0,Switzerland,Countries,Bond,1,1,,Schweiz. Eidgenossenschaft,Aaa,,AAA,Ja,,,,,,,AAA,Domestic,2022-06-22,0.0,94.08
0 EIDG 19-34,CH0440081393,89.03,,Schweiz. Eidgenossenschaft,E19,44008139,1.06,11.017,20190626,11.07,26.06.2034,2272.2,Bonds - CHF Domestic,CHF,0.0,0.0,100000,89.27,89.77,100.0,0.5585,89.03,20230615.0,,,,,0,0,0.0,0.0,Switzerland,Countries,Bond,1,1,,Schweiz. Eidgenossenschaft,Aaa,,AAA,Ja,,,,,,,AAA,Domestic,2022-06-26,0.0,89.03
0 EIDG 19-39,CH0440081401,84.05,,Schweiz. Eidgenossenschaft,E198,44008140,1.12,16.094,20190724,16.15,24.07.2039,2532.2,Bonds - CHF Domestic,CHF,0.0,0.0,100000,83.92,84.48,100.0,0.6651,84.05,20230608.0,,,,,0,0,0.0,0.0,Switzerland,Countries,Bond,1,1,,Schweiz. Eidgenossenschaft,Aaa,,AAA,Ja,,,,,,,AAA,Domestic,2022-07-24,0.0,84.05
0 ESKOM 27      /ER,XS0078528352,31.37,,ESKOM Holding Ltd.,ZAR067,679222,,,19970818,,18.08.2027,8000.0,Bonds - Non CHF,ZAR,0.0,0.0,0,,,0.0,,31.37,20171120.0,,,,,0,0,0.0,0.0,Eurobond ZAR,Utilities,Bond,0,0,,,,,,,,,,,,,,Foreign,2022-08-18,0.0,31.37
0 ESKOM 32      /ER,XS0079398250,22.0,,ESKOM Holding Ltd.,ZAR066,695883,,,19970908,,31.12.2032,7500.0,Bonds - Non CHF,ZAR,0.0,0.0,0,,,0.0,,22.0,20210615.0,,,,,0,0,0.0,0.0,Eurobond ZAR,Utilities,Bond,0,0,,,,,,,,,,,,,,Foreign,2022-12-31,0.0,22.0
0 EUF 21-31,CH1149985959,86.55,,Eurofima,EUF21,114998595,1.929,8.506,20211222,8.56,22.12.2031,200.0,Bonds - CHF Domestic,CHF,0.0,0.0,100000,85.15,-Market,0.0,0.0,86.55,20230512.0,,,,,0,0,0.0,0.0,Switzerland,Misc. services,Bond,1,1,Green Bond,Eurofima,Aa2,,AA+,Ja,,,,,,,AA+,Domestic,2022-12-22,0.0,86.55
0 FR KB 20-30,CH0506071114,87.25,,Freiburger Kantonalbank,FRK20,50607111,2.158,6.683,20200226,6.74,26.02.2030,200.0,Bonds - CHF Domestic,CHF,0.0,0.0,100000,86.85,87.4,100.0,0.6313,87.25,20230526.0,,,,,0,0,0.0,0.0,Switzerland,Banks,Bond,1,1,,Freiburger Kantonalbank,,,AA+,Nein,,,,,,,AA+,Domestic,2023-02-26,0.0,87.25
0 FR KB 21-31,CH0506071353,85.6,,Freiburger Kantonalbank,FRK205,50607135,2.146,7.625,20210205,7.68,05.02.2031,240.0,Bonds - CHF Domestic,CHF,0.0,0.0,100000,85.2,85.75,100.0,0.6435,85.6,20230515.0,,,,,0,0,0.0,0.0,Switzerland,Banks,Bond,1,1,,Freiburger Kantonalbank,,,AA+,Nein,,,,,,,AA+,Domestic,2023-02-05,0.0,85.6
0 FREGR 24 /EE,DE000A2DAHU1,96.4,,Fresenius SE & Co.,EU3239,35460376,,,20170131,,31.01.2024,500.0,Bonds - Non CHF,EUR,0.0,0.0,0,,,0.0,,96.4,20181120.0,,,,,0,0,0.0,0.0,Eurobond EUR,"Chemicals, Pharma",Bond,0,0,,,,,,,,,,,,,,Foreign,2023-01-31,0.0,96.4
0 GEELZ 24 /CB,XS1933947951,115.8,,Geely Sweden Financials,EU3326,48474302,,,20190619,,19.06.2024,400.0,Bonds - Non CHF,EUR,0.0,0.0,0,,,0.0,,115.8,20200917.0,,,,,0,0,0.0,0.0,Eurobond EUR,Misc. services,Convertible bond,0,0,,,,,,,,,,,,,,Foreign,2023-06-19,0.0,115.8
0 GLARNERK 19-29,CH0485260837,88.0,,Glarner Kantonalbank,GKB19,48526083,2.209,6.322,20191016,6.38,16.10.2029,100.0,Bonds - CHF Domestic,CHF,0.0,0.0,100000,87.15,88.05,100.0,1.0274,88.0,20230602.0,,,,,0,0,0.0,0.0,Switzerland,Banks,Bond,1,1,,Glarner Kantonalbank,,,AA+,Nein,,,,,,,AA+,Domestic,2022-10-16,0.0,88.0
0 GLARNERK 20-28,CH0506071189,90.15,,Glarner Kantonalbank,GKB20,50607118,2.042,5.211,20200306,5.26,06.09.2028,100.0,Bonds - CHF Domestic,CHF,0.0,0.0,10000,90,90.4,100.0,0.4435,90.15,20230616.0,,,,,0,0,0.0,0.0,Switzerland,Banks,Bond,1,1,,Glarner Kantonalbank,,,AA+,Nein,,,,,,,AA+,Domestic,2022-09-06,0.0,90.15
0 GLENLN 25 /EB,XS1799614232,107.95,,Glencore Funding,US1923,41038160,,,20180327,,27.03.2025,500.0,Bonds - Non CHF,USD,0.0,0.0,0,,,0.0,,107.95,20220118.0,,,,,0,0,0.0,0.0,Eurobond USD,Banks,Bond,0,0,,,,,,,,,,,,,,Foreign,2023-03-27,0.0,107.95
0 IBRD 25       /ER,XS0086657532,61.0,,Intl. Bk f. Rec. a. Develop.,ZAR106,891161,,,19980515,,31.12.2025,4000.0,Bonds - Non CHF,ZAR,0.0,0.0,0,,,0.0,,61.0,,,,,,0,0,0.0,0.0,Eurobond ZAR,Supranational Organisations,Bond,0,0,,,,,,,,,,,,,,Foreign,2022-12-31,0.0,61.0
0 IBRD 26       /ER,XS0084162576,52.8,,Intl. Bk f. Rec. a. Develop.,ZAR103,846234,,,19980217,,17.02.2026,2000.0,Bonds - Non CHF,ZAR,0.0,0.0,0,,,0.0,,52.8,,,,,,0,0,0.0,0.0,Eurobond ZAR,Supranational Organisations,Bond,0,0,,,,,,,,,,,,,,Foreign,2023-02-17,0.0,52.8
0 IBRD 27       /ER,US45905UAD63,65.6,,Intl. Bk f. Rec. a. Develop.,ZAR102,659664,,,19970714,,14.07.2027,3000.0,Bonds - Non CHF,ZAR,0.0,0.0,0,,,0.0,,65.6,20190211.0,,,,,0,0,0.0,0.0,Eurobond ZAR,Supranational Organisations,Bond,0,0,,,,,,,,,,,,,,Foreign,2022-07-14,0.0,65.6
0 IBRD 97-28    /ER,XS0082720698,56.35,,Intl. Bk f. Rec. a. Develop.,ZAR101,796674,,,19971229,,29.12.2028,11000.0,Bonds - Non CHF,ZAR,0.0,0.0,0,,,0.0,,56.35,20171026.0,,,,,0,0,0.0,0.0,Eurobond ZAR,Supranational Organisations,Bond,0,0,,,,,,,,,,,,,,Foreign,2022-12-29,0.0,56.35
0 JPM 21-24 /CB,XS2303829308,99.1,,JPMorgan Chase Bank NA,EUF097,110042480,,,20210218,,18.02.2024,390.0,Bonds - Non CHF,EUR,0.0,0.0,0,,,0.0,,99.1,,,,,,0,0,0.0,0.0,Eurobond EUR,Banks,Convertible bond,0,0,,,,,,,,,,,,,,Foreign,2023-02-18,0.0,99.1
